seq,XPath
364,cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode
365,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory
366,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID
367,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent
368,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:PerUnitAmount
369,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme
370,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme/cbc:ID
371,cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty
372,cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Name
373,cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Value
374,cac:InvoiceLine/cac:Price
375,cac:InvoiceLine/cac:Price/cbc:PriceAmount
376,cac:InvoiceLine/cac:Price/cbc:BaseQuantity
377,cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]
378,cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:ChargeIndicator
379,cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount
380,cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount/@currencyID
381,cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount
382,cac:InvoiceLine/cac:Price/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount/@currencyID
